documentId,rowId,actualId,panel,kind,severity,field,expected,actual,reviewed,unsafe
pilot-04,pilot-04-r01,38123316-43f3-40ec-8bec-6fedc6cc8625,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-04,pilot-04-r01,38123316-43f3-40ec-8bec-6fedc6cc8625,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-04,pilot-04-r06,baf77cb4-673c-4670-b6ec-020028b8f4e4,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-04,pilot-04-r06,baf77cb4-673c-4670-b6ec-020028b8f4e4,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-04,pilot-04-r07,784c8512-3e5d-41c4-a558-be1e3bcd7077,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-04,pilot-04-r07,784c8512-3e5d-41c4-a558-be1e3bcd7077,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-04,pilot-04-r08,38bf7196-7198-4a32-8289-f034f2ced8d7,CBC,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-04,pilot-04-r08,38bf7196-7198-4a32-8289-f034f2ced8d7,CBC,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-05,pilot-05-r18,087522eb-594e-4aff-aba0-478902ea9762,Electrolytes,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-05,pilot-05-r18,087522eb-594e-4aff-aba0-478902ea9762,Electrolytes,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-06,pilot-06-r08,5d8028dd-b587-41e1-853e-0f8c6abd4222,Liver,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-06,pilot-06-r08,5d8028dd-b587-41e1-853e-0f8c6abd4222,Liver,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-06,pilot-06-r18,f5e27044-39e1-447c-903e-54f39fffad8a,Electrolytes,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
pilot-06,pilot-06-r18,f5e27044-39e1-447c-903e-54f39fffad8a,Electrolytes,FIELD_MISMATCH,E,reviewState,AUTO_ACCEPTED,REVIEW_REQUIRED,True,False
pilot-07,pilot-07-r06,13195789-c649-47d2-b3a6-d70df23e5626,Liver,FIELD_MISMATCH,E,reviewRequired,False,True,True,False
